89,1503-6108-20170105-0016,1503,乌海市,20170105,6108,榆林,0016,526,0.49,0.51,0,106.85246,39.446697,109.569405,38.039055,340,1503,乌海市,6108,榆林,迁出
90,1502-3100-20170105-0016,1502,包头市,20170105,3100,上海,0016,13710,0,0.44,0.56,110.24727,41.54235,121.461624,31.19809,1693,1502,包头市,3100,上海,迁出
91,1502-1501-20170105-0016,1502,包头市,20170105,1501,呼和浩特,0016,13647,0.33,0.67,0,110.24727,41.54235,111.509125,40.58843,176,1502,包头市,1501,呼和浩特,迁出
92,1502-1507-20170105-0016,1502,包头市,20170105,1507,呼伦贝尔,0016,3165,0.03,0.45,0.52,110.24727,41.54235,120.92084,49.560787,1482,1502,包头市,1507,呼伦贝尔,迁出
93,1502-1525-20170105-0016,1502,包头市,20170105,1525,锡盟,0016,2123,0.12,0.87,0.01,110.24727,41.54235,115.473564,44.18702,650,1502,包头市,1525,锡盟,迁出
94,1501-1507-20170105-0016,1501,呼和浩特市,20170105,1507,呼伦贝尔,0016,16896,0.17,0.25,0.58,111.509125,40.58843,120.92084,49.560787,1443,1501,呼和浩特市,1507,呼伦贝尔,迁出
95,1501-1502-20170105-0016,1501,呼和浩特市,20170105,1502,包头,0016,14030,0.3,0.7,0,111.509125,40.58843,110.24727,41.54235,176,1501,呼和浩特市,1502,包头,迁出
96,1501-3301-20170105-0016,1501,呼和浩特市,20170105,3301,杭州,0016,7869,0,0.26,0.74,111.509125,40.58843,119.47483,29.897175,1480,1501,呼和浩特市,3301,杭州,迁出
97,1508-1501-20170105-0016,1508,巴彦淖尔市,20170105,1501,呼和浩特,0016,6599,0.34,0.65,0.01,107.542336,41.443913,111.509125,40.58843,450,1508,巴彦淖尔市,1501,呼和浩特,迁出
98,1508-2101-20170105-0016,1508,巴彦淖尔市,20170105,2101,沈阳,0016,1122,0,0.43,0.57,107.542336,41.443913,123.14411,42.099224,1733,1508,巴彦淖尔市,2101,沈阳,迁出
99,1508-6401-20170105-0016,1508,巴彦淖尔市,20170105,6401,银川,0016,911,0.46,0.53,0.01,107.542336,41.443913,106.352974,38.2359,380,1508,巴彦淖尔市,6401,银川,迁出
100,1507-1501-20170105-0016,1507,呼伦贝尔市,20170105,1501,呼和浩特,0016,11311,0.23,0.14,0.63,120.92084,49.560787,111.509125,40.58843,1443,1507,呼伦贝尔市,1501,呼和浩特,迁出
101,1507-2302-20170105-0016,1507,呼伦贝尔市,20170105,2302,齐齐哈尔,0016,5727,0.6,0.4,0,120.92084,49.560787,124.55007,47.70097,453,1507,呼伦贝尔市,2302,齐齐哈尔,迁出
102,1507-2327-20170105-0016,1507,呼伦贝尔市,20170105,2327,大兴安岭,0016,1336,0.11,0.89,0,120.92084,49.560787,124.342445,52.026978,468,1507,呼伦贝尔市,2327,大兴安岭,迁出
103,1506-6108-20170105-0016,1506,鄂尔多斯市,20170105,6108,榆林,0016,10945,0.52,0.48,0,108.630394,39.41297,109.569405,38.039055,185,1506,鄂尔多斯市,6108,榆林,迁出
104,1506-1502-20170105-0016,1506,鄂尔多斯市,20170105,1502,包头,0016,6561,0.48,0.52,0,108.630394,39.41297,110.24727,41.54235,297,1506,鄂尔多斯市,1502,包头,迁出
105,1506-1509-20170105-0016,1506,鄂尔多斯市,20170105,1509,乌兰察布,0016,2715,0.35,0.65,0,108.630394,39.41297,112.43363,41.68491,492,1506,鄂尔多斯市,1509,乌兰察布,迁出
106,1505-3100-20170105-0016,1505,通辽市,20170105,3100,上海,0016,4238,0,0.3,0.7,121.57691,43.820114,121.461624,31.19809,1401,1505,通辽市,3100,上海,迁出
